dataset,accuracy,precision,recall,f1,auc,group,dim,depth,heads,attn_dropout
analcatdata_cyyoung9302,0.894737,0.500000,0.500000,0.500000,0.882353,1,32,4,2,0.1
analcatdata_cyyoung9302,0.736842,0.285714,1.000000,0.444444,0.764706,1,32,4,2,0.2
analcatdata_cyyoung9302,0.894737,0.000000,0.000000,0.000000,0.676471,1,32,4,4,0.1
analcatdata_cyyoung9302,0.631579,0.222222,1.000000,0.363636,0.852941,1,32,4,4,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.600000,1,16,2,2,0.1
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.650000,1,16,2,2,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.600000,1,16,2,4,0.1
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.400000,1,16,2,4,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.200000,1,16,4,2,0.1
analcatdata_fraud,0.444444,0.444444,1.000000,0.615385,0.300000,1,16,4,2,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.100000,1,16,4,4,0.1
analcatdata_fraud,0.666667,0.666667,0.500000,0.571429,0.500000,1,16,4,4,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.650000,1,32,2,2,0.1
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.550000,1,32,2,2,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.250000,1,32,2,4,0.1
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.650000,1,32,2,4,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.450000,1,32,4,2,0.1
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.350000,1,32,4,2,0.2
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.450000,1,32,4,4,0.1
analcatdata_fraud,0.444444,0.000000,0.000000,0.000000,0.300000,1,32,4,4,0.2
analcatdata_japansolvent,0.636364,0.800000,0.571429,0.666667,0.714286,1,16,2,2,0.1
analcatdata_japansolvent,0.727273,0.700000,1.000000,0.823529,0.678571,1,16,2,2,0.2
analcatdata_japansolvent,0.727273,0.833333,0.714286,0.769231,0.785714,1,16,2,4,0.1
analcatdata_japansolvent,0.636364,0.636364,1.000000,0.777778,0.714286,1,16,2,4,0.2
analcatdata_japansolvent,0.818182,0.777778,1.000000,0.875000,0.750000,1,16,4,2,0.1
analcatdata_japansolvent,0.545455,1.000000,0.285714,0.444444,0.714286,1,16,4,2,0.2
analcatdata_japansolvent,0.454545,1.000000,0.142857,0.250000,0.714286,1,16,4,4,0.1
analcatdata_japansolvent,0.636364,0.666667,0.857143,0.750000,0.785714,1,16,4,4,0.2
analcatdata_japansolvent,0.636364,0.636364,1.000000,0.777778,0.714286,1,32,2,2,0.1
analcatdata_japansolvent,0.363636,0.000000,0.000000,0.000000,0.571429,1,32,2,2,0.2
analcatdata_japansolvent,0.363636,0.000000,0.000000,0.000000,0.607143,1,32,2,4,0.1
analcatdata_japansolvent,0.636364,0.636364,1.000000,0.777778,0.714286,1,32,2,4,0.2
analcatdata_japansolvent,0.363636,0.000000,0.000000,0.000000,0.607143,1,32,4,2,0.1
analcatdata_japansolvent,0.545455,1.000000,0.285714,0.444444,0.678571,1,32,4,2,0.2
analcatdata_japansolvent,0.636364,0.714286,0.714286,0.714286,0.678571,1,32,4,4,0.1
analcatdata_japansolvent,0.636364,0.636364,1.000000,0.777778,0.607143,1,32,4,4,0.2
labor,0.750000,0.700000,1.000000,0.823529,1.000000,1,16,2,2,0.1
labor,0.583333,0.583333,1.000000,0.736842,0.942857,1,16,2,2,0.2
labor,0.583333,0.583333,1.000000,0.736842,1.000000,1,16,2,4,0.1
labor,0.583333,0.583333,1.000000,0.736842,0.885714,1,16,2,4,0.2
labor,0.583333,0.583333,1.000000,0.736842,0.742857,1,16,4,2,0.1
labor,0.583333,0.750000,0.428571,0.545455,0.742857,1,16,4,2,0.2
labor,0.750000,0.700000,1.000000,0.823529,0.942857,1,16,4,4,0.1
