dim,depth,heads,attn_dropout,accuracy,precision,recall,f1,auc,dataset,group
32,4,4,0.2,0.6666666666666666,0.3333333333333333,0.2,0.25,0.43846153846153846,postoperative_patient_data,1
64,3,4,0.1,0.5,0.0,0.0,0.0,0.3769230769230769,postoperative_patient_data,1
16,2,2,0.1,0.5416666666666666,0.0,0.0,0.0,0.6153846153846154,analcatdata_boxing1,2
32,4,4,0.2,0.5833333333333334,0.6,0.2727272727272727,0.375,0.5314685314685315,analcatdata_boxing1,2
64,3,4,0.1,0.5416666666666666,0.0,0.0,0.0,0.6223776223776223,analcatdata_boxing1,2
16,2,2,0.1,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,0.788888888888889,analcatdata_boxing2,2
32,4,4,0.2,0.6296296296296297,0.631578947368421,0.8,0.7058823529411765,0.6444444444444445,analcatdata_boxing2,2
64,3,4,0.1,0.8148148148148148,0.8125,0.8666666666666667,0.8387096774193549,0.8222222222222223,analcatdata_boxing2,2
16,2,2,0.1,0.45454545454545453,0.08333333333333333,0.5,0.14285714285714285,0.4,appendicitis,2
32,4,4,0.2,0.6818181818181818,0.0,0.0,0.0,0.5,appendicitis,2
64,3,4,0.1,0.09090909090909091,0.09090909090909091,1.0,0.16666666666666666,0.375,appendicitis,2
16,2,2,0.1,0.8888888888888888,0.0,0.0,0.0,0.828125,backache,2
32,4,4,0.2,0.8888888888888888,0.0,0.0,0.0,0.8515625,backache,2
64,3,4,0.1,0.8888888888888888,0.0,0.0,0.0,0.859375,backache,2
16,2,2,0.1,0.5,0.0,0.0,0.0,0.5703125,corral,2
32,4,4,0.2,0.625,0.625,0.625,0.625,0.671875,corral,2
64,3,4,0.1,0.53125,0.5238095238095238,0.6875,0.5945945945945946,0.59375,corral,2
16,2,2,0.1,0.5454545454545454,0.47058823529411764,0.5714285714285714,0.5161290322580645,0.6428571428571428,glass2,2
32,4,4,0.2,0.5757575757575758,0.0,0.0,0.0,0.7781954887218044,glass2,2
64,3,4,0.1,0.5757575757575758,0.0,0.0,0.0,0.6729323308270677,glass2,2
16,2,2,0.1,0.8064516129032258,0.8064516129032258,1.0,0.8928571428571429,0.7866666666666666,hepatitis,2
32,4,4,0.2,0.8064516129032258,0.8064516129032258,1.0,0.8928571428571429,0.7266666666666667,hepatitis,2
64,3,4,0.1,0.8064516129032258,0.8064516129032258,1.0,0.8928571428571429,0.7066666666666667,hepatitis,2
16,2,2,0.1,0.8181818181818182,0.7272727272727273,0.8888888888888888,0.8,0.9401709401709402,molecular_biology_promoters,2
32,4,4,0.2,0.8181818181818182,0.7272727272727273,0.8888888888888888,0.8,0.9487179487179487,molecular_biology_promoters,2
64,3,4,0.1,0.8181818181818182,0.6923076923076923,1.0,0.8181818181818182,0.9230769230769231,molecular_biology_promoters,2
16,2,2,0.1,0.4230769230769231,0.4230769230769231,1.0,0.5945945945945946,0.5696969696969697,mux6,2
32,4,4,0.2,0.5769230769230769,0.0,0.0,0.0,0.5696969696969697,mux6,2
64,3,4,0.1,0.6538461538461539,0.625,0.45454545454545453,0.5263157894736842,0.8,mux6,2
16,2,2,0.1,0.55,0.0,0.0,0.0,0.9898989898989898,prnn_crabs,2
32,4,4,0.2,0.725,1.0,0.3888888888888889,0.56,0.9823232323232323,prnn_crabs,2
